,tree,name,type,rank,requires,effect,replaces,Exert,Grapple,Intimidate,Martial Arts,Shoot,Strike,Throw,Bellor,Inferno,Sangui,Tempest,Implements,Insight,Legerdemain,Operate,Stealth,Tactics,Tumble,Mori,Nox,Plaga,Squall,Craft,Pilot,Analyze,Computers,Cosmology,Current Events,Deceive,History,Linguistics,Nature,Navigate,Persuade,Research,Skrimisiology,Streetwise,Survival,Theology,Arithm,Medicine,Mentis,Phylla,Rime,Torrent,Composure,Endure,Focus,Investigate,Lead,Perceive,Forma,Locus,Lux,Ordi,Tellus,Aether,Destroy,Intuit,Luck,Nihil,Resist,Tempor,Vivus,list_skills,skills,str_pcard
0,Acolyte,Commune with Divinity,Ability,1,Divine Doctrine,"Maintain your Composure at Challenge 3 to align yourself with the divine. Gain Hits in <strong><em>Concordance</em></strong>.<br>Your Concordance measures how closely you are aligned with your Divine Doctrine.<br>You may use this Ability without using an Action at the beginning of each Waypoint.  If you use it during a Waypoint, it requires 8 - Steady Actions (minimum 1 Action).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Composure,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Composure', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Composure'],"['!power {{\n    --name|@{name} - Commune with Divinity\n    --Effect|Maintain your Composure at Challenge 3 to align yourself with the divine. Gain Hits in <strong><em>Concordance</em></strong>.<br>Your Concordance measures how closely you are aligned with your Divine Doctrine.<br>You may use this Ability without using an Action at the beginning of each Waypoint.  If you use it during a Waypoint, it requires 8 - Steady Actions (minimum 1 Action).\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_composure}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
8,Aberrant,Living Anomaly,Ability,3,Aberration,"When you score 5+ Hits with your Aberration's Effect Triggers, you may immediately use a different Effect Trigger from your Aberration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[],[]
10,Mystic,Manage Strain,Ability,2,,Use your Insight to reduce your current Strain by Hits.,,,,,,,,,,,,,,Insight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, 'Insight', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Insight'],['!power {{\n    --name|@{name} - Manage Strain\n    --Effect|Use your Insight to reduce your current Strain by Hits.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_insight}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']
23,Archmage,Master the arcane,Ability,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[],[]
24,Assassin,Coup de Grace,Ability,2,Sneak Attack,"Spend 3 Momentum and immediately Strike a target in your Current Zone that is Prone.  On 6+ Hits, the target dies.",,,,,,,Strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, 'Strike', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Strike'],"['!power {{\n    --name|@{name} - Coup de Grace\n    --Effect|Spend 3 Momentum and immediately Strike a target in your Current Zone that is Prone.  On 6+ Hits, the target dies.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_strike}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
28,Assassin,Silent Takedown,Ability,2,,"Strike an opponent whil Hidden, attempting to subdue them quietly.  If you score 4+ Hits, the tareget suffers no damage to their Defenses or Grit, but gains Unconscious X, where X is equal to Hits in the result set.",,,,,,,Strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, 'Strike', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Strike'],"['!power {{\n    --name|@{name} - Silent Takedown\n    --Effect|Strike an opponent whil Hidden, attempting to subdue them quietly.  If you score 4+ Hits, the tareget suffers no damage to their Defenses or Grit, but gains Unconscious X, where X is equal to Hits in the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_strike}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
31,Assassin,Vanish,Ability,3,,"Spend X Momentum to gain Hidden X, where X is the amount of Momentum spent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[],[]
37,Assassin,Contract Killer,Ability,2,,"Persuade one target in your Current Zone to negotiate terms of a contract, adding +2 Bonus Hits to the result set.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persuade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Persuade', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Persuade'],"['!power {{\n    --name|@{name} - Contract Killer\n    --Effect|Persuade one target in your Current Zone to negotiate terms of a contract, adding +2 Bonus Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_persuade}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
39,Athlete,Powerlifter,Ability,1,,"Exert yourself to accomplish a feat of strength, adding +1d4 bonus hits to the result set.",,Exert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Exert', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Exert'],"['!power {{\n    --name|@{name} - Powerlifter\n    --Effect|Exert yourself to accomplish a feat of strength, adding +1d4 bonus hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_exert}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
