,name,type,max_ranks,effect,threshold,requires,keywords,attr_spell_rank
0,Arc Lightning,Ability,4,,"[{'hits': 2, 'effect': 'Choose 3 targets you can see in your Current Zone. Deal 1 Hit to each target.'}, {'hits': 4, 'effect': 'Choose 3 targets you can see in your Current Zone.  Deal 3 Hits the first target, 2 Hits to the second target, & 1 Hit to the third.'}]",,['Tempest'],attr_spell_rank_arc_lightning
1,Arrest,Ability,4,,"[{'hits': 1, 'effect': 'One target you can see in your Current or an Adjacent Zone gains Restrained X, where X is equal to Hits.'}, {'hits': 3, 'effect': 'One target you can see in your Current or an Adjacent Zone gains Restrained <em>x</em>, where <em>x</em> is equal to Hits +2.'}]",,"['Ongoing 2', 'Lux', 'Aether']",attr_spell_rank_arrest
2,Asphyxiate,Ability,2,,"[{'hits': 2, 'effect': 'You pull the air from the lungs of one target you can see in your Current Zone.  They gain Vulnerable 2 and Dazed X, where X is equal to Hits in the result set.'}, {'hits': 4, 'effect': 'You pull the air from the lungs of one target you can see in your Current Zone.  They gain Stunned and Vulnerable X, where X is equal to Hits in the result set.'}]",,"['Plaga', 'Mori', 'Squall']",attr_spell_rank_asphyxiate
3,Augment Senses,Shift,2,,"[{'hits': 2, 'effect': 'Score 2+ Hits touch one target you can seei n your Current Zone, allowing them to add +1d4 Bonus Hits to their next result set for any of the follosing Skills:<br><em>Focus, Insight, Investigate, Operate, Perceive</em>'}]",,"['Vivus', 'Mentis', 'Forma']",attr_spell_rank_augment_senses
4,Biting Rain,Ability,2,All targets in your Current or an Adjacent Zone suffer 1 Hit to their Primary Defenses.,"[{'hits': 2, 'effect': ''}, {'hits': 4, 'effect': 'All targets in your Current or an Adjacent Zone suffer 2 Hit to their Primary Defense.'}]",,['Plaga'],attr_spell_rank_biting_rain
5,Blazing Volley,Ability,4,,"[{'hits': 3, 'effect': 'Deal 2 Hits to up to 3 targets in an Adjacent Zone.'}, {'hits': 5, 'effect': 'Deal 3 Hits to up to 4 targets in an Adjacent Zone.'}]",,['Inferno'],attr_spell_rank_blazing_volley
6,Blinding Flare,Ability,3,,"[{'hits': 2, 'effect': 'One target in your Current or an Adjacent Zone gain Blind 1.'}, {'hits': 4, 'effect': 'make one target in your Current or an Adjacent Zone gain Blind 3.'}]",,"['Inferno', 'Lux']",attr_spell_rank_blinding_flare
7,Call to the Netherworld,Ability,3,,"[{'hits': 1, 'effect': 'Reach out to the spirits of the dead when you are in their presence to ask X questions, where X is the number of Hits in the result set.'}]",,"['Mori', 'Vivus']",attr_spell_rank_call_to_the_netherworld
8,Chain Lightning,Ability,5,,"[{'hits': 3, 'effect': 'Deal X to one Target in your Current or an Adjacent Zone, where X is equal to Hits in the result set.'}, {'hits': 5, 'effect': ""<em><strong>Trigger</strong></em> &mdash cast this spell again choosing a different target.  This copy uses the last target's Zone as its Current Zone.""}]",Arc Lightning 2,['Tempest'],attr_spell_rank_chain_lightning
9,Charm Target,Ability,2,,"[{'hits': 2, 'effect': 'One target in your Current Zone gains Charmed X, where X is equal to Hits in the results set.'}, {'hits': 4, 'effect': 'Up to 2 targets in your Current Zone gain Charmed X, where X is equal to Hits in the results set.'}]",,['Mentis'],attr_spell_rank_charm_target
10,Chill of the Grave,Ability,2,,"[{'hits': 2, 'effect': 'One target in your Current Zone becomees Afraidd of you and gains Fatigued X, where x is equal to Hits in the result set.'}, {'hits': 4, 'effect': 'Up to two targets in your Current Zone becomee Afraidd of you and gains Fatigued X, where x is equal to Hits in the result set.'}]",,"['Mori', 'Rime']",attr_spell_rank_chill_of_the_grave
11,Chill to the Bone,Ability,3,,"[{'hits': 2, 'effect': 'One target in your Current Zone gains Slowed 2 and Fatigued X, where x is equal to Hits in the result set.'}, {'hits': 3, 'effect': 'Up to two targets in your Current Zone gains Slowed 2 and Fatigued X, where x is equal to Hits in the result set.'}]",,"['Mori', 'Rime']",attr_spell_rank_chill_to_the_bone
12,Choking Fumes,Ability,4,,"[{'hits': 2, 'effect': 'Up to X targets in your Current or an Adjacent Zone gain Fatigued 1, where X is equal to Hits in the result set.'}, {'hits': 3, 'effect': 'Up to X targets in your Current or an Adjacent Zone gain Fatigued 1, where X is equal to Hits in the result set.'}]",,"['Mori', 'Plaga', 'Squall']",attr_spell_rank_choking_fumes
13,Circle of Affliction,Ability,4,,"[{'hits': 3, 'effect': 'One target in your Current Zone gain Wounded 1 Ongoing.'}, {'hits': 5, 'effect': 'One target in your Current Zone gains Wounded 3 Ongoing.'}]",,"['Aether', 'Locus', 'Lux', 'Ongoing 2']",attr_spell_rank_circle_of_affliction
