name,skill,type,rank,effect
,Aether,Trigger,2,"When you us an Aether effect and score 0 Hits, add +2 Hits to the result."
,Aether,Trigger,4,"When you use an Aether effect, score +1 Bonus Hits."
,Aether,Trigger,,"When you score 3+ Hits with an Aether effect, you may have the target gain Dazed 1."
,Aether,Trigger,,"When you score 4+ Hits with an Aether effect, you may remove 1 Hazard in the effect's Zone."
,Aether,Trigger,,"When you use the Recover Action and score 4+ Hits, you may reduce one Status by -1."
,Aether,Trigger,,"When you score 3+ Hits with a Aether effect, you may have the effect's Zone lose Darkened until your next turn."
,Aether,Trigger,,"When you score 3+ Hits with an Inferno effect, you may have the target gain Charmed 1."
,Aether,Trigger,,
,Arithm,Trigger,2,"When you us an Arithm effect and score 0 Hits, add +2 Hits to the result."
,Arithm,Trigger,4,"When you use an Arithm effect, score +1 Bonus Hits."
,Arithm,Trigger,,
,Arithm,Trigger,,
,Arithm,Trigger,,
,Arithm,Trigger,,
,Arithm,Trigger,,
,Arithm,Trigger,,
,Arithm,Trigger,,
,Arithm,Trigger,,
,Bellor,Trigger,,"When you score 0 Hits with a Bellor effect, add +2 Hits to the result."
,Bellor,Trigger,,"When you score 4+ Hits wit ha Bellor effect while the Entropy is 10+, add +1d4 Bonus Hits to the result set."
,Bellor,Trigger,,
,Bellor,Trigger,,
,Bellor,Trigger,,
,Bellor,Trigger,,
,Craft,Trigger,,"When you Craft an Epic and score 0 Hits, add +2 Hits to the result set."
,Craft,Trigger,,"When you Craft an Epic and score 5+ Hits, you may use your Shift this turn to activate the next Verse of the Epic as a Trigger."
,Craft,Trigger,,"When you Craft to restore Gear ratings and score 0 Hits, add +2 Hits to the result set."
,Craft,Trigger,,"When you Craft an Epic with the Ballad keyword, add +1 Bonus Hit to the result set."
,Craft,Trigger,,"When you Craft an Epic with the Saga keyword, add +1 Bonus Hit to the result set."
,Craft,Trigger,,"When you Craft to restore Gear ratings, score +1 Bonus Hits."
,,,,"When you Craft to create Concoctions and score 0 Hits, add +2 Hits to the result set."
,Craft,Trigger,,"When you Craft to create Concoctions,  score +1 Bonus Hits."
,Craft,Trigger,,"When you Craft to create Concoctions and score 3+, reduce the number of turns required by -2."
