name,description,requires,cost,keywords
Guardian,Summon a protective spirit that defends an ally from attacks.,,1,
Vengeance,Call forth a vengeful spirit to attack and haunt an enemy.,,2,
Healing,Summon a benevolent spirit that heals and rejuvenates allies over time.,,2,
The Wild,Call upon an animal spirit to assist in combat or tracking.,,1,"Tellus, Phylla"
Wisdom,Summon a wise spirit to provide guidance and knowledge.,,1,Intuit
The Storm,Unleash a storm spirit to cause havoc with wind and lightning.,,2,"Tempest, Squall"
Shadows,Summon a shadowy spirit to scout and gather information.,,2,Nox
Strength,Empower an ally with the strength of a powerful spirit.,,1,Destroy
Lies,Call upon a spirit to create convincing illusions to deceive enemies.,,2,
Tranquility,Summon a calming spirit to soothe emotions and restore peace.,,2,"Ordi, Vivus"
Balance,Call upon a spirit of balance to restore equilibrium and peace.,,2,
Fire,Summon a fiery spirit that engulfs enemies in flames.,,1,Inferno
Water,Call forth a water spirit to control and manipulate water.,,1,Torrent
Earth,Summon an earth spirit to create barriers and cause tremors.,,1,Tellus
Air,Call upon an air spirit to grant flight and manipulate the wind.,,1,Squall
Light,Summon a radiant spirit to illuminate dark areas and blind foes.,,1,Lux
Darkness,Call forth a spirit of darkness to obscure vision and create shadows.,,2,Nox
The Forest,Call upon a spirit of nature to control plants and wildlife.,,2,Phylla
The Moons,Summon a lunar spirit to grant night vision and manipulate tides.,,2,"Lux, Nox"
The Suns,Call forth a solar spirit to burn away curses and empower allies.,,2,"Inferno, Lux"
Frost,Summon a frost spirit to freeze enemies and create ice barriers.,,1,Rime
Thunder,Call upon a thunder spirit to unleash powerful lightning strikes.,,1,Tempest
The Hunt,Summon a hunting spirit to track and capture prey.,,2,"Destroy, Intuit"
Mountain,Call forth a mountain spirit to grant immense strength and endurance.,,1,Tellus
Sea,Summon a sea spirit to control ocean currents and summon sea creatures.,,2,Torrent
Chaos,Summon a chaotic spirit to disrupt enemies and create confusion.,,2,Bellor
The Deserts,Call forth a desert spirit to create sandstorms and desiccation.,,1,"Inferno, Lux, Tellus"
Sky,Summon a sky spirit to control weather and see great distances.,,2,Squall
The Comdemned,Call upon an underworld spirit to communicate with the dead and protect against necromancy.,,2,"Mori, Nihil"
Courage,Summon a courageous spirit to bolster morale and instill bravery in allies.,,1,
Justice,Call forth a spirit of justice to judge the wicked and uphold the law.,,2,Ordi
Fortune,Summon a spirit of luck to influence chance and bring good fortune.,,2,Luck
