tree,Name,Type,rank,Effect
Acolyte,Commune with divinity,Ability,1,"When you gain this Talent, select 2 Power Skills from the list below to be your Acoloyte Foci. When you use this ability, prepare Powers that draw from these Skills:
- Inferno, Lux, Mori, Nox, Rime, Tempest, Vivus

Use your Composure to connect with a higher power. Gain Hits + Steady Power ranks to prepare your Powers.
You Powers gain the following characteristics:
- Threshold: 4
- Backlash: Penance - For each Power that results in Hits greater than Threshold, mark 1 Penance. Penance affects your ability to call upon your higher power, as described by the BAMF when it occurs. Penance can be paid by spending actions outside of combat usuiing Composure, reducing your current Peneance by Hits in the results set.

You can use this abiility without using an Action at the beginning of each Waypoint. If you use it during a Waypoint, it requires 5 - Steady Actions (minimum 1 action)."
Acolyte,Composure (3),Static,2,Increaser your Composure rating to 2 (d8).
Adept,Attune with forces,Ability,1,"<em>When you gain this Talent, select 2 Power Skills from the list below to be your Adept Foci.  When you use this ability, prepare Powers that draw from these Skills:
<br> - Aether, Inferno, Lux, Mori, Nihil, Nox, Rime, Squall, Tellus, Tempest, Torrent, Vivus
</em>
<br>
<br>
Use your Insight to connect with the forces within.  Gain Hits + Deft or Uncanny Power ranks to prepare your Powers.
<br>You Powers gain the following characteristics:
<br>- <b>Threshold:</b> 3
<br>- <b>Backlash:</b> <em>Strain</em> -- You gain 1 Strain for every Hit a Power generates above Threshold.  If your total Strain exceeds your Grit at any time, you make all rolls at Challenge +2d.
<br>
<br>You can use this abiility without using an Action at the beginning of each Waypoint.  If you use it during a Waypoint, it requires 5 - Uncanny Actions (minimum 1 action)."
Adept,Insight (3),Static,2,Increase your Insight rating to 3 (d10).
Alchemist,Prepare concoctions,Ability,1,Craft
Archmage,Master the arcane,Ability,1,
Assassin,Coup de grace,Ability,2,
Assassin,Sneak Attack,Trigger,1,"When you successfully attack a target while Hidden, add +1d6 bonus Hits to the result set."
Athlete,Powerlifter,Ability,1,"Exert yourself to accomplish a feat of strength, adding +1d4 bonus hits to the result set."
Athlete,Sprinter,Static,1,"When you Shift to move to an adjacent Zone, you may move an additional Zone."
Bastion,,Ability,,
Beastmaster,,Ability,,
Berserker,Exert (2),Static,1,
Berserker,Frenzy,Ability,1,
Black Belt,,Ability,,
Blade Weaver,,Ability,,
Bounty Hunter,,Ability,,
Brute,Brutal Strike,Ability,1,"Strike one target with unrelenting force, adding +1d4 Hits to the result set."
Brute,Last Stand,Ability,2,Exert yourself when you are below your maximum Grit.  Regain +Hits to your Primary Defense and reduce the Challenge by 1d.
Brute,Exert (2),Static,1,Increase your Exert rating to 2 (d8).
